playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497326","null","Golden Tate","WR","DET","WR","DET","null","13.8159","null","null","63","63","null","null","0.7792","null","null","null","16.2125","10.7742","3.2822","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","20.5024","null","null","7","7","null","null","1.0572","null","null","null","23.0808","16.6","5.8771","null",
"497336","null","Damian Williams","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"1037366","null","Michael Palmer","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"1037847","null","Deji Karim","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","CHI","WR","CHI","null","1.0223","null","null","336","336","null","null","0.1449","null","null","null","1.1919","0.77","6.7952","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","12.4929","null","null","76","76","null","null","0.3061","null","null","null","14.8986","10.68","5.0145","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","16.0493","null","null","41","41","null","null","0.9344","null","null","null","18.0076","12.7605","3.8759","null",
"2495158","null","Leonard Hankerson","WR","ATL","WR","ATL","null","11.9082","null","null","83","83","null","null","0.1245","null","null","null","13.3024","8.1411","3.7145","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","4.9958","null","null","212","212","null","null","0.1754","null","null","null","7.1107","0.7244","2.7025","null",
"2495161","null","Roy Helu","RB","OAK","RB","OAK","null","4.9937","null","null","213","213","null","null","0.3555","null","null","null","7.7327","0","4.6768","null",
"2495172","null","Kendall Hunter","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495179","null","Jerrel Jernigan","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","16.854","null","null","32","32","null","null","0.1743","null","null","null","17.8691","12.916","3.446","null",
"2495187","null","Lance Kendricks","TE","STL","TE","STL","null","4.1493","null","null","240","240","null","null","0.1517","null","null","null","5.4491","1.94","2.2873","null",
"2495189","null","Jeremy Kerley","WR","NYJ","WR","NYJ","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495192","null","Greg Little","WR","CIN","WR","CIN","null","0.2603","null","null","401","401","null","null","0.0358","null","null","null","0.6222","0","6.578","null",
"2495194","null","Jake Locker","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495207","null","DeMarco Murray","RB","PHI","RB","PHI","null","13.6073","null","null","67","67","null","null","0.601","null","null","null","16.258","5.82","6.5342","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495212","null","Austin Pettis","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495215","null","Christian Ponder","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495223","null","Greg Salas","WR","FA","WR","FA","null","0.0249","null","null","437","437","null","null","0.0173","null","null","null","0.0355","0","7.3919","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","1.0225","null","null","335","335","null","null","0.0248","null","null","null","1.7587","0.191","4.478","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","17.5628","null","null","25","25","null","null","0.0207","null","null","null","19.2238","12.8172","5.2273","null",
"2495241","null","Daniel Thomas","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","3.3198","null","null","264","264","null","null","0.2875","null","null","null","4.6951","1.232","4.0006","null",
"2495306","null","Ricardo Lockette","WR","SEA","WR","SEA","null","1.1654","null","null","324","324","null","null","0.138","null","null","null","2.4292","0.0773","4.044","null",
"2495314","null","Bruce Miller","RB","SF","RB","SF","null","0.9115","null","null","344","344","null","null","0.0611","null","null","null","1.5635","0.34","5.5775","null",
"2495315","null","Denarius Moore","WR","FA","WR","FA","null","0.5103","null","null","377","377","null","null","0.078","null","null","null","0.7531","0","6.4923","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495331","null","Aldrick Robinson","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495338","null","Dane Sanzenbacher","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","1.3547","null","null","314","314","null","null","0.0303","null","null","null","2.1906","0.45","7.7663","null",
"2495341","null","Cecil Shorts","WR","HOU","WR","HOU","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495347","null","Lee Smith","TE","OAK","TE","OAK","null","1.6751","null","null","306","306","null","null","0.0918","null","null","null","2.498","0.529","5.2391","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","5.9181","null","null","192","192","null","null","0.4582","null","null","null","9.7758","0","9.1831","null",
"2495425","null","Scott Tolzien","QB","GB","QB","GB","null","0.6085","null","null","367","367","null","null","0.0919","null","null","null","1.103","0","5.1003","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0.5791","null","null","369","369","null","null","0.1264","null","null","null","1.0608","0","5.2585","null",
"2495443","null","Ryan Mallett","QB","HOU","QB","HOU","null","12.5768","null","null","73","73","null","null","10.1752","null","null","null","13.8458","8.6426","4.6548","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","18.6369","null","null","19","19","null","null","0.7818","null","null","null","20.2217","16.09","5.4513","null",
"2495449","null","Tandon Doss","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2495450","null","A.J. Green","WR","CIN","WR","CIN","null","16.729","null","null","33","33","null","null","0.9067","null","null","null","18.7647","14.22","4.9749","null",
"2495453","null","Andre Holmes","WR","OAK","WR","OAK","null","4.088","null","null","242","242","null","null","0.1424","null","null","null","5.0181","2.59","4.1428","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","22.8512","null","null","2","2","null","null","2.7508","null","null","null","27.5499","18.29","7.415","null",
