playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2533034","null","Lamar Miller","RB","MIA","RB","MIA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533036","null","LaMichael James","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533037","null","Chris Polk","RB","HOU","RB","HOU","null","2.3303","null","null","281","281","null","null","0.0746","null","null","null","3.6924","0.08","2.9157","null",
"2533038","null","Justin Blackmon","WR","JAC","WR","JAC","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2533039","null","Alshon Jeffery","WR","CHI","WR","CHI","null","11.5886","null","null","86","86","null","null","0.175","null","null","null","15.2431","2.0483","9.1731","null",
"2533040","null","Mohamed Sanu","WR","CIN","WR","CIN","null","6.6468","null","null","174","174","null","null","0.2695","null","null","null","7.235","5.93","4.6219","null",
"2533046","null","Dwayne Allen","TE","IND","TE","IND","null","6.8037","null","null","171","171","null","null","0.4118","null","null","null","8.319","4.5","3.2366","null",
"2533047","null","Orson Charles","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533347","null","Bradie Ewing","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533349","null","Austin Davis","QB","CLE","QB","CLE","null","0.9095","null","null","345","345","null","null","0.1608","null","null","null","1.5364","-0.0345","3.0648","null",
"2533353","null","Cory Harkey","TE","STL","TE","STL","null","0.2774","null","null","397","397","null","null","0.0473","null","null","null","0.4846","0.01","6.5658","null",
"2533436","null","Brock Osweiler","QB","DEN","QB","DEN","null","0.4542","null","null","383","383","null","null","0.083","null","null","null","0.8502","0","5.6221","null",
"2533437","null","Ronnie Hillman","RB","DEN","RB","DEN","null","11.3885","null","null","94","94","null","null","0.1074","null","null","null","15.5375","7.4144","5.8922","null",
"2533457","null","Alfred Morris","RB","WAS","RB","WAS","null","9.7502","null","null","112","112","null","null","0.0928","null","null","null","12.0965","5.3509","3.078","null",
"2533460","null","Robert Turbin","RB","CLE","RB","CLE","null","0.4624","null","null","380","380","null","null","0.0349","null","null","null","1.2711","-0.026","4.7216","null",
"2533533","null","Rueben Randle","WR","NYG","WR","NYG","null","11.7247","null","null","85","85","null","null","0.2109","null","null","null","14.9838","3.964","5.9632","null",
"2533537","null","Stephen Hill","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2533539","null","Tommy Streeter","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2533540","null","Edwin Baker","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2533545","null","Bernard Pierce","RB","JAC","RB","JAC","null","1.3407","null","null","315","315","null","null","0.088","null","null","null","2.4072","0.1","3.5203","null",
"2534241","null","Derek Carrier","TE","WAS","TE","WAS","null","7.2525","null","null","164","164","null","null","0.4005","null","null","null","8.3318","2.973","3.3496","null",
"2534244","null","Chase Ford","TE","MIN","TE","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2534436","null","Deonte Thompson","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2534437","null","Austin Johnson","RB","NO","RB","NO","null","1.1428","null","null","325","325","null","null","0.0343","null","null","null","1.9064","0","3.8745","null",
"2534571","null","Bobby Rainey","RB","TB","RB","TB","null","2.209","null","null","289","289","null","null","0.0624","null","null","null","4.1673","0.86","1.9809","null",
"2534742","null","Taylor Thompson","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2534752","null","Adrien Robinson","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2534770","null","Jonathan Grimes","RB","HOU","RB","HOU","null","0.0846","null","null","426","426","null","null","0.034","null","null","null","0.1451","0","7.3913","null",
"2534779","null","Julian Talley","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2534789","null","Daryl Richardson","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2534796","null","Bryce Brown","RB","FA","RB","FA","null","1.979","null","null","298","298","null","null","0.1449","null","null","null","3.7082","0","6.4196","null",
"2534820","null","Garrett Celek","TE","SF","TE","SF","null","5.3632","null","null","202","202","null","null","0.2537","null","null","null","7.0926","2.2747","3.9539","null",
"2534871","null","Derrick Coleman","RB","SEA","RB","SEA","null","1.629","null","null","307","307","null","null","0.2219","null","null","null","2.5343","0.02","9.8155","null",
"2534889","null","Matt Simms","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2535522","null","Brian Tyms","WR","NE","WR","NE","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2535535","null","Phillip Supernaw","TE","TEN","TE","TEN","null","0.2328","null","null","406","406","null","null","0.0105","null","null","null","0.4235","0","6.0503","null",
"2535696","null","Joe Banyard","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2535698","null","Cole Beasley","WR","DAL","WR","DAL","null","9.8033","null","null","111","111","null","null","0.5968","null","null","null","13.0529","7.6259","3.0579","null",
"2535708","null","Lance Dunbar","RB","DAL","RB","DAL","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2535716","null","Saalim Hakim","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2535869","null","Rod Streater","WR","OAK","WR","OAK","null","2.3177","null","null","283","283","null","null","0.0185","null","null","null","4.829","0","2.5951","null",
"2535876","null","Griff Whalen","WR","IND","WR","IND","null","1.2895","null","null","318","318","null","null","0.1906","null","null","null","2.0238","0.77","5.1975","null",
"2535882","null","Mike Brown","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2535890","null","Travaris Cadet","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2535963","null","Phil Bates","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2535964","null","Josh Bellamy","WR","CHI","WR","CHI","null","4.5269","null","null","227","227","null","null","0.0875","null","null","null","6.4698","0.88","10.2151","null",
"2535966","null","Brenton Bersin","WR","CAR","WR","CAR","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2536006","null","Matt Blanchard","QB","GB","QB","GB","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2536031","null","Damaris Johnson","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2536044","null","Jamize Olawale","RB","OAK","RB","OAK","null","0.4551","null","null","382","382","null","null","0.0767","null","null","null","0.7647","0","6.3833","null",
"2536056","null","Jeremy Stewart","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2536071","null","Cooper Helfet","TE","SEA","TE","SEA","null","0.3748","null","null","386","386","null","null","0.0751","null","null","null","0.799","0","5.8809","null",
"2536342","null","Brandon Bostick","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2536532","null","Jorvorskie Lane","RB","TB","RB","TB","null","0.314","null","null","391","391","null","null","0.0313","null","null","null","0.4974","0.05","6.7477","null",
"2537931","null","Josh Gordon","WR","CLE","WR","CLE","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2537933","null","Larry Donnell","TE","NYG","TE","NYG","null","9.5101","null","null","115","115","null","null","0.5881","null","null","null","10.5898","6.4594","4.9837","null",
"2539202","null","Chris Gragg","TE","BUF","TE","BUF","null","0.7932","null","null","355","355","null","null","0.0594","null","null","null","1.5151","0","3.8093","null",
"2539203","null","Cobi Hamilton","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2539205","null","Terrance Williams","WR","DAL","WR","DAL","null","14.1345","null","null","60","60","null","null","0.3089","null","null","null","18.0341","11.0064","4.673","null",
"2539214","null","Kenbrell Thompkins","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2539217","null","Andre Ellington","RB","ARI","RB","ARI","null","9.2667","null","null","117","117","null","null","0.1541","null","null","null","12.3974","3.2991","6.4346","null",
"2539228","null","EJ Manuel","QB","BUF","QB","BUF","null","0.1146","null","null","425","425","null","null","0.0858","null","null","null","0.1314","0","7.352","null",
"2539235","null","Tavarres King","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2539246","null","Chris Harper","WR","FA","WR","FA","null","0.005","null","null","443","443","null","null","0.005","null","null","null","0.0071","0","7.4602","null",
"2539250","null","Quinton Patton","WR","SF","WR","SF","null","3.3085","null","null","265","265","null","null","0.4673","null","null","null","4.6691","0.1414","2.455","null",
"2539256","null","Aaron Dobson","WR","NE","WR","NE","null","6.0936","null","null","190","190","null","null","0.6975","null","null","null","7.1451","3.9678","3.2093","null",
"2539258","null","Zac Dysert","QB","FA","QB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2539260","null","Denard Robinson","RB","JAC","RB","JAC","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2539265","null","Rex Burkhead","RB","CIN","RB","CIN","null","1.1345","null","null","326","326","null","null","0.0522","null","null","null","1.7547","0.07","4.1524","null",
"2539275","null","Mike Glennon","QB","TB","QB","TB","null","1.2342","null","null","319","319","null","null","0.0346","null","null","null","2.1422","0","2.5944","null",
"2539287","null","Landry Jones","QB","PIT","QB","PIT","null","0.0348","null","null","433","433","null","null","0.0219","null","null","null","0.0643","0","7.5901","null",
"2539289","null","Kenjon Barner","RB","PHI","RB","PHI","null","0.041","null","null","431","431","null","null","0.0075","null","null","null","0.0808","0","7.6241","null",
"2539291","null","Markus Wheaton","WR","PIT","WR","PIT","null","6.3986","null","null","180","180","null","null","0.153","null","null","null","9.5226","4.4105","4.8804","null",
"2539303","null","Zach Line","RB","MIN","RB","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2539308","null","Matt Barkley","QB","ARI","QB","ARI","null","0.0032","null","null","446","446","null","null","0.0032","null","null","null","0.0053","0","7.7412","null",
"2539315","null","Stepfan Taylor","RB","ARI","RB","ARI","null","0.9706","null","null","341","341","null","null","0.0413","null","null","null","1.9932","0","3.3672","null",
"2539322","null","Christine Michael","RB","DAL","RB","DAL","null","2.5653","null","null","277","277","null","null","0.1735","null","null","null","4.0166","0.08","2.1242","null",
"2539327","null","Joseph Fauria","TE","FA","TE","FA","null","0.1295","null","null","424","424","null","null","0.1146","null","null","null","0.1983","0","7.005","null",
"2539335","null","Geno Smith","QB","NYJ","QB","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2539336","null","Tavon Austin","WR","STL","WR","STL","null","9.055","null","null","120","120","null","null","0.0131","null","null","null","9.9712","5.3344","2.8458","null",
"2539341","null","Montee Ball","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2539645","null","Brandon Williams","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2539663","null","Mike Gillislee","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2539674","null","Rodney Smith","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2539961","null","Ryan Nassib","QB","NYG","QB","NYG","null","0.2394","null","null","403","403","null","null","0.0244","null","null","null","0.4026","0","5.3015","null",
"2539964","null","Marquise Goodwin","WR","BUF","WR","BUF","null","0.3597","null","null","388","388","null","null","0.0648","null","null","null","0.7632","0","6.4063","null",
"2539980","null","Kerwynn Williams","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2539995","null","Mychal Rivera","TE","OAK","TE","OAK","null","5.124","null","null","209","209","null","null","0.1364","null","null","null","6.1339","4.28","3.7225","null",
"2540005","null","Marlon Brown","WR","BAL","WR","BAL","null","8.1886","null","null","141","141","null","null","0.14","null","null","null","9.9296","5.7223","2.6693","null",
"2540011","null","Chris Thompson","RB","WAS","RB","WAS","null","6.4759","null","null","179","179","null","null","0.1838","null","null","null","8.1343","1.6069","7.1623","null",
"2540020","null","Theo Riddick","RB","DET","RB","DET","null","8.938","null","null","126","126","null","null","0.0601","null","null","null","11.3836","6.34","4.093","null",
"2540037","null","Fozzy Whittaker","RB","CAR","RB","CAR","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540145","null","Cordarrelle Patterson","WR","MIN","WR","MIN","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2540148","null","Tyler Eifert","TE","CIN","TE","CIN","null","12.3034","null","null","78","78","null","null","0.5114","null","null","null","17.4264","9.19","6.829","null",
"2540151","null","Justin Hunter","WR","TEN","WR","TEN","null","5.1816","null","null","206","206","null","null","0.0161","null","null","null","6.6861","3.72","3.3283","null",
"2540154","null","Keenan Allen","WR","SD","WR","SD","null","17.8411","null","null","23","23","null","null","0.79","null","null","null","20.5391","15.05","5.0782","null",
"2540156","null","Giovani Bernard","RB","CIN","RB","CIN","null","11.2953","null","null","96","96","null","null","0.2337","null","null","null","12.6443","8.4263","2.6447","null",
"2540157","null","Stedman Bailey","WR","STL","WR","STL","null","5.2451","null","null","204","204","null","null","0.037","null","null","null","7.5306","2.1018","2.7956","null",
"2540158","null","Zach Ertz","TE","PHI","TE","PHI","null","8.9401","null","null","125","125","null","null","0.1009","null","null","null","10.0347","5.99","5.6929","null",
"2540160","null","Jordan Reed","TE","WAS","TE","WAS","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","null","18.7896","null","null","18","18","null","null","0.5366","null","null","null","21.4093","14.79","5.0168","null",
"2540168","null","Eddie Lacy","RB","GB","RB","GB","null","16.2563","null","null","39","39","null","null","0.5999","null","null","null","17.924","11.33","7.2909","null",
"2540169","null","Robert Woods","WR","BUF","WR","BUF","null","8.5786","null","null","137","137","null","null","0.2044","null","null","null","9.7597","5.9674","4.2162","null",
"2540171","null","Joseph Randle","RB","DAL","RB","DAL","null","13.4838","null","null","68","68","null","null","0.9636","null","null","null","16.1427","10.24","3.5784","null",
"2540173","null","Tyler Bray","QB","KC","QB","KC","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","null","23.0751","null","null","1","1","null","null","2.4804","null","null","null","24.3805","21.24","8.0316","null",
"2540177","null","Marquess Wilson","WR","CHI","WR","CHI","null","7.7218","null","null","152","152","null","null","0.0383","null","null","null","9.1835","5.0875","3.0663","null",
"2540178","null","Knile Davis","RB","KC","RB","KC","null","3.8169","null","null","250","250","null","null","0.2413","null","null","null","6.8964","0.94","4.6598","null",
"2540179","null","DaRick Rogers","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2540181","null","Josh Boyce","WR","NE","WR","NE","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2540200","null","Dion Sims","TE","MIA","TE","MIA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540202","null","Kenny Stills","WR","MIA","WR","MIA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2540203","null","Levine Toilolo","TE","ATL","TE","ATL","null","2.2103","null","null","288","288","null","null","0.3798","null","null","null","3.5486","0.15","5.3323","null",
"2540204","null","Spencer Ware","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540211","null","Gavin Escobar","TE","DAL","TE","DAL","null","3.4896","null","null","258","258","null","null","0.0337","null","null","null","4.1593","1.99","3.7531","null",
"2540215","null","Vance McDonald","TE","SF","TE","SF","null","3.0269","null","null","269","269","null","null","0.4344","null","null","null","4.4626","0","4.4834","null",
"2540224","null","Mike James","RB","FA","RB","FA","null","0.0398","null","null","432","432","null","null","0.013","null","null","null","0.0731","0","7.573","null",
"2540225","null","Tommy Bohanon","RB","NYJ","RB","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540230","null","Kyle Juszczyk","RB","BAL","RB","BAL","null","2.3024","null","null","285","285","null","null","0.1239","null","null","null","3.1811","0.9498","4.4205","null",
"2540232","null","Jack Doyle","TE","IND","TE","IND","null","0.5154","null","null","376","376","null","null","0.0454","null","null","null","0.9489","0.15","5.5916","null",
"2540233","null","Nick Kasa","TE","FA","TE","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540258","null","Travis Kelce","TE","KC","TE","KC","null","13.6457","null","null","66","66","null","null","1.2475","null","null","null","16.5038","9.72","5.0968","null",
"2540259","null","MarQueis Gray","TE","BUF","TE","BUF","null","1.2179","null","null","321","321","null","null","0.1471","null","null","null","1.6672","0","3.0205","null",
"2540260","null","Alan Bonner","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2540261","null","Corey Fuller","WR","DET","WR","DET","null","1.5142","null","null","311","311","null","null","0.2867","null","null","null","2.8048","0.2254","3.4218","null",
"2540267","null","Ace Sanders","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2540269","null","C.J. Anderson","RB","DEN","RB","DEN","null","11.2669","null","null","97","97","null","null","0.507","null","null","null","15.937","6.9263","6.1784","null",
"2540273","null","Zac Stacy","RB","NYJ","RB","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540274","null","Matthew Tucker","RB","PHI","RB","PHI","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2540928","null","Darren Fells","TE","ARI","TE","ARI","null","4.8801","null","null","217","217","null","null","0.2971","null","null","null","6.4451","2.44","3.4199","null",
"2541096","null","Ifeanyi Momah","WR","ARI","WR","ARI","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2541096","null","Ifeanyi Momah","TE","ARI","TE","ARI","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2541147","null","Charles Johnson","WR","MIN","WR","MIN","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2541151","null","Zach Sudfeld","TE","NYJ","TE","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2541161","null","Latavius Murray","RB","OAK","RB","OAK","null","14.3826","null","null","56","56","null","null","0.4727","null","null","null","15.8","11.8129","3.4183","null",
"2541185","null","Ryan Griffin","QB","TB","QB","TB","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2541187","null","Demetrius Harris","TE","KC","TE","KC","null","0.1661","null","null","420","420","null","null","0.0267","null","null","null","0.2962","0","6.8016","null",
"2541199","null","Luke Willson","TE","SEA","TE","SEA","null","3.4557","null","null","261","261","null","null","0.2769","null","null","null","4.0827","2","3.752","null",
"2541314","null","Justin Brown","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2541316","null","Ryan Griffin","TE","HOU","TE","HOU","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2541388","null","Brice Butler","WR","DAL","WR","DAL","null","0.0675","null","null","428","428","null","null","0.0328","null","null","null","0.1255","0","6.7904","null",
"2541390","null","Kevin Dorsey","WR","NE","WR","NE","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2541429","null","B.J. Daniels","QB","SEA","QB","SEA","null","0","null","null","448","448","null","null","0","null","null","null","1.626","0","2.9444","null",
"2541429","null","B.J. Daniels","WR","SEA","WR","SEA","null","0.8833","null","null","346","346","null","null","0.0267","null","null","null","1.626","0","3.2527","null",
"2541432","null","Michael Cox","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2541512","null","Brian Leonhardt","TE","OAK","TE","OAK","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2541544","null","Benny Cunningham","RB","STL","RB","STL","null","5.0021","null","null","211","211","null","null","0.0813","null","null","null","6.2412","0.28","3.3248","null",
"2541768","null","Tim Wright","TE","TB","TE","TB","null","3.7456","null","null","252","252","null","null","0.1182","null","null","null","6.0295","0.6","4.7184","null",
"2541769","null","Mike Zimmer","RB","MIN","RB","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2541785","null","Adam Thielen","WR","MIN","WR","MIN","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2541828","null","Frankie Hammond","WR","KC","WR","KC","null","0.1743","null","null","416","416","null","null","0.0687","null","null","null","0.3584","0","6.6476","null",
"2541834","null","Josh Hill","TE","NO","TE","NO","null","3.4561","null","null","260","260","null","null","0.0684","null","null","null","4.7257","2","2.3383","null",
"2541891","null","Devin Smith","WR","NYJ","WR","NYJ","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2541910","null","George Winn","RB","DET","RB","DET","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2541944","null","Russell Shepard","WR","TB","WR","TB","null","0.7256","null","null","362","362","null","null","0.223","null","null","null","1.2422","0.01","5.3002","null",
"2541966","null","Jaron Brown","WR","ARI","WR","ARI","null","2.8086","null","null","272","272","null","null","0.2794","null","null","null","5.3948","0.45","4.7575","null",
"2541986","null","Michael Hill","RB","DAL","RB","DAL","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2542022","null","Khiry Robinson","RB","NO","RB","NO","null","4.2097","null","null","236","236","null","null","0.0482","null","null","null","6.1706","1.8539","2.5852","null",
"2542065","null","Matt McGloin","QB","OAK","QB","OAK","null","0.9397","null","null","343","343","null","null","0.1051","null","null","null","1.4175","-0.0689","2.5372","null",
"2543457","null","Sammy Watkins","WR","BUF","WR","BUF","null","8.0938","null","null","143","143","null","null","0.1","null","null","null","13.7362","0","10.2382","null",
"2543462","null","Johnny Manziel","QB","CLE","QB","CLE","null","2.1767","null","null","290","290","null","null","0.9452","null","null","null","4.9357","-0.104","11.8562","null",
"2543465","null","Teddy Bridgewater","QB","MIN","QB","MIN","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2543466","null","Eric Ebron","TE","DET","TE","DET","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","null","15.1836","null","null","45","45","null","null","0.1448","null","null","null","18.65","11.6954","4.9845","null",
"2543471","null","Kelvin Benjamin","WR","CAR","WR","CAR","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2543475","null","Marqise Lee","WR","JAC","WR","JAC","null","2.2703","null","null","287","287","null","null","0.1189","null","null","null","3.9463","0","8.07","null",
"2543477","null","Blake Bortles","QB","JAC","QB","JAC","null","17.1385","null","null","28","28","null","null","0.2404","null","null","null","18.575","14.4737","3.6883","null",
"2543481","null","Jace Amaro","TE","NYJ","TE","NYJ","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2543488","null","Jarvis Landry","WR","MIA","WR","MIA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2543491","null","Paul Richardson","WR","SEA","WR","SEA","null","0.2159","null","null","409","409","null","null","0.0206","null","null","null","0.473","0","6.3156","null",
"2543495","null","Davante Adams","WR","GB","WR","GB","null","5.1729","null","null","207","207","null","null","0.0959","null","null","null","11.3995","0","10.3287","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","null","19.6982","null","null","8","8","null","null","0.5357","null","null","null","22.3721","17.528","5.8145","null",
"2543497","null","AJ McCarron","QB","CIN","QB","CIN","null","0.0227","null","null","440","440","null","null","0.0211","null","null","null","0.0302","0","7.6875","null",
"2543498","null","Brandin Cooks","WR","NO","WR","NO","null","14.3179","null","null","57","57","null","null","0.1111","null","null","null","18.79","11.72","5.0612","null",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","null","14.3045","null","null","58","58","null","null","6.7028","null","null","null","15.9004","10.7212","4.6165","null",
"2543500","null","Jordan Matthews","WR","PHI","WR","PHI","null","15.4868","null","null","43","43","null","null","0.332","null","null","null","19.3361","12.15","5.4225","null",
"2543502","null","Tre Mason","RB","STL","RB","STL","null","3.4119","null","null","263","263","null","null","0.1277","null","null","null","6.1882","0.4263","4.3276","null",
"2543509","null","Allen Robinson","WR","JAC","WR","JAC","null","14.9152","null","null","52","52","null","null","0.5347","null","null","null","17.5868","11.82","4.9368","null",
"2543551","null","KaDeem Carey","RB","CHI","RB","CHI","null","1.082","null","null","330","330","null","null","0.0219","null","null","null","2.772","0","2.8463","null",
"2543559","null","Lache Seastrunk","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2543565","null","Andre Williams","RB","NYG","RB","NYG","null","6.3022","null","null","183","183","null","null","0.0474","null","null","null","8.549","2.4263","3.5856","null",
"2543570","null","Storm Johnson","RB","FA","RB","FA","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2543572","null","Martavis Bryant","WR","PIT","WR","PIT","null","8.8831","null","null","131","131","null","null","0.2277","null","null","null","10.4121","6.98","3.1109","null",
"2543583","null","Devonta Freeman","RB","ATL","RB","ATL","null","18.5845","null","null","20","20","null","null","2.2825","null","null","null","21.4402","15.83","4.9842","null",
"2543587","null","Aaron Murray","QB","KC","QB","KC","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2543590","null","Cody Latimer","WR","DEN","WR","DEN","null","0.0102","null","null","441","441","null","null","0.0077","null","null","null","0.0154","0","5.9708","null",
"2543596","null","Dri Archer","RB","PIT","RB","PIT","null","0.8422","null","null","349","349","null","null","0.0395","null","null","null","2.0942","0","3.4751","null",
"2543596","null","Dri Archer","WR","PIT","WR","PIT","null","0","null","null","448","829","null","null","0","null","null","null","2.0942","0","3.9956","null",
"2543600","null","Alfred Blue","RB","HOU","RB","HOU","null","6.1348","null","null","189","189","null","null","0.441","null","null","null","7.8196","4.1963","2.786","null",
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","null","10.162","null","null","104","104","null","null","0.4224","null","null","null","12.6932","5.7017","5.5983","null",
"2543605","null","Zach Mettenberger","QB","TEN","QB","TEN","null","1.0122","null","null","337","337","null","null","0.0471","null","null","null","1.7556","-0.0689","2.2236","null",
"2543614","null","Donte Moncrief","WR","IND","WR","IND","null","12.1606","null","null","80","80","null","null","0.2208","null","null","null","15.2448","9.5664","3.0383","null",
"2543619","null","Walt Powell","WR","FA","WR","FA","null","0","null","null","448","829","null","null","0","null","null","null","0","0","null","null",
"2543628","null","Troy Niklas","TE","ARI","TE","ARI","null","0.6012","null","null","368","368","null","null","0.0758","null","null","null","1.2202","0","3.4502","null",
"2543638","null","DeAnthony Thomas","RB","KC","RB","KC","null","5.8456","null","null","193","193","null","null","0.3067","null","null","null","6.6311","2.6","6.2642","null",
"2543638","null","DeAnthony Thomas","WR","KC","WR","KC","null","4.2173","null","null","234","234","null","null","0.0298","null","null","null","6.6311","2.6","4.0594","null",
"2543640","null","Tom Savage","QB","HOU","QB","HOU","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
"2543641","null","Devin Street","WR","DAL","WR","DAL","null","4.2148","null","null","235","235","null","null","0.0907","null","null","null","6.1338","1.653","2.5111","null",
"2543646","null","Bruce Ellington","WR","SF","WR","SF","null","2.0778","null","null","296","296","null","null","0.1359","null","null","null","3.0367","0.178","6.988","null",
"2543655","null","Tyler Gaffney","RB","NE","RB","NE","null","0","null","null","448","448","null","null","0","null","null","null","0","0","null","null",
